id;companyId;containerId;createdAt;customer;displayId;engineId;engineName;engineType;extraInfo;integrated;integrationId;isTest;orderTiming;orderType;salesChannel;scheduledAt;status;preparationTime;takeOutTimeInSeconds;totalAmount;updatedAt;version
1;I0VP1DZXGU;AKVXT2FH;08/01/2025 15:47;525;O8CC98;E3R037;DirectOrder;POS;Adipisci maiores nam eius vero nesciunt sed.;True;2452;False;IMMEDIATE;DELIVERY;ANOTAAI;;DISPATCHED;45;2131;90.91;09/01/2025 03:32;v3.7.8
2;04MEUULZ6W;KKMY5TG5;03/11/2024 22:30;694;HJ99VA;EJVOBV;DirectOrder;APP;;False;4688;True;IMMEDIATE;DELIVERY;WHATSAPP;;CONCLUDED;33;374;99.69;04/11/2024 03:05;v2.3.0
3;W2ZZS7CCZW;I87JLGTV;09/09/2024 05:49;491;XJJDH2;UDX1ZF;KDSPro;POS;;False;8501;False;IMMEDIATE;INDOOR;EPADOCA;;CONCLUDED;22;247;45.97;09/09/2024 09:32;v1.9.5
4;SQ5MBL8L24;W3ZXOQHO;22/05/2025 06:22;846;J8QDM3;30FLOC;KDSPro;WEB;Autem mollitia voluptas quasi.;True;3560;False;SCHEDULED;TAKEOUT;99FOOD;22/05/2025 14:22;CANCELED;35;1766;104.31;22/05/2025 21:39;v2.8.5
5;0RCNJ6BRJD;NA0C0FOS;22/02/2025 01:23;77;H4LV73;QI3URN;KDSPro;POS;;True;3196;False;SCHEDULED;DELIVERY;99FOOD;24/02/2025 11:23;DISPATCHED;20;1219;105.5;22/02/2025 13:53;v2.1.3
6;XF32XPMU6N;NGNJYJIK;17/12/2024 14:54;463;WS9UVN;MIXWGY;KDSPro;APP;;True;1550;False;SCHEDULED;INDOOR;99FOOD;18/12/2024 07:54;CONFIRMED;68;1689;51.42;18/12/2024 09:12;v2.8.3
7;0Q15FQJIT6;F5Q4MYIX;17/05/2025 16:51;625;XJA3WX;6ILJ42;CannoliEngine;POS;;False;5252;False;SCHEDULED;TAKEOUT;SITE;18/05/2025 01:51;PENDING;43;2922;110.33;18/05/2025 12:12;v2.8.8
8;O547GFPQEQ;QR7D6E5F;02/06/2025 15:22;395;0H74IS;RCAXHC;CannoliEngine;APP;Consectetur dolorem vitae reiciendis.;True;7965;False;SCHEDULED;INDOOR;SITE;05/06/2025 13:22;CANCELED;20;1797;21.41;03/06/2025 06:56;v1.4.6
9;5O7CELUWGJ;O97PBYD4;11/06/2025 02:18;633;DJXMVM;TYGLFS;CannoliEngine;WEB;;False;4098;False;IMMEDIATE;INDOOR;SITE;;PENDING;33;3243;28.36;11/06/2025 18:50;v2.3.4
10;33DC5SGGCE;UDDVA3PQ;16/12/2024 09:27;350;PYH5H2;O5LTG6;IfoodBridge;APP;;False;6282;False;SCHEDULED;DELIVERY;SITE;17/12/2024 22:27;PLACED;51;1062;48.1;17/12/2024 01:56;v1.2.1
11;ZQ1VKVV411;QIZRMT0N;11/10/2024 16:49;34;HB62HL;N6GOQS;IfoodBridge;APP;;True;9201;False;SCHEDULED;INDOOR;EPADOCA;13/10/2024 12:49;DISPATCHED;85;3548;39.21;12/10/2024 03:13;v2.4.4
12;7GEOQGFA32;J5UFVFCW;15/04/2025 20:22;920;GQ8X2M;PXTGU0;DirectOrder;POS;;False;2944;False;SCHEDULED;DELIVERY;EPADOCA;16/04/2025 00:22;PENDING;32;2155;107.72;16/04/2025 10:18;v1.9.9
13;528YNMK9CU;109S8B04;16/11/2024 07:53;518;A9YZ5S;CZH36H;IfoodBridge;APP;;True;1015;False;SCHEDULED;INDOOR;ANOTAAI;16/11/2024 21:53;CONFIRMED;30;820;14.15;16/11/2024 20:38;v1.1.1
14;LWXWU1R0DN;952B5IKR;14/01/2025 09:12;932;O8UA4N;UTHO69;CannoliEngine;APP;Vitae eaque enim adipisci non optio.;False;9517;False;IMMEDIATE;DELIVERY;IFOOD;;PENDING;48;3435;44.53;15/01/2025 04:58;v3.3.6
15;HKW9X6REAV;BEHHW9BH;03/05/2025 03:19;19;2MPGL9;U0U83T;KDSPro;WEB;;True;9117;False;IMMEDIATE;DELIVERY;99FOOD;;DISPATCHED;40;2318;114.57;03/05/2025 13:26;v3.5.5
16;0FK46WQ28K;CXHHDAS1;10/10/2024 13:12;365;CO1RYW;YMCS3Y;DirectOrder;WEB;;False;1701;False;IMMEDIATE;INDOOR;WHATSAPP;;PLACED;82;1126;140.07;11/10/2024 08:49;v1.9.0
17;3LSHZ8BRHQ;1FNTTUYS;07/07/2025 16:58;34;HCJQT2;JAVYEJ;KDSPro;POS;Eius quo dolorum.;True;2177;False;SCHEDULED;TAKEOUT;IFOOD;09/07/2025 10:58;PLACED;54;367;46.37;08/07/2025 11:33;v2.0.0
